X1,min_read,Longitude,Latitude,mnlogCH4,verified,numtimes,minDist,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,geometry,recombine,em,threshold,First_Time,analysis,POLYGON,LEAKNUM,win,PolyLK,lnum
8,atmos_a2_1626583463.9,-106.81405657272397,40.482420626717044,-1.3744824277297158,True,4,19.68240076809525,35.1025718873243,22.451248,0.42019800000000007,POINT (-106.814056572724 40.48242062671704),"['atmos_a2_1626583463.9', 'atmos_a2_1626669548.7', 'atmos_a2_1626670143.5', 'atmos_a2_1626670285.9', 'atmos_a2_1626675163.8']",0.9945683557679355,0.025,2021-07-17T22:44:23Z,2,P1,1,True,P1L1,NA
5,atmos_a4_1626577706.0,-106.8241017576313,40.47371820136487,-3.970685874372735,True,2,8.668573908566486,8.877183807475378,-0.3424000000000009,0.018860625000000183,POINT (-106.8241017576313 40.47371820136487),"['atmos_a4_1626577706.0', 'atmos_a4_1626591047.3']",0.04242543825702751,0.01,2021-07-17T21:08:26Z,4,P1,2,True,P1L2,NA
6,atmos_a4_1626578769.0,-106.82053029712996,40.47678831424585,-3.3709821342923085,True,2,82.34854627546156,136.5228682267434,4.829265000000001,0.034419999999999895,POINT (-106.82053029713 40.47678831424585),"['atmos_a4_1626578769.0', 'atmos_a4_1626672471.0']",0.0879200837645651,0.01,2021-07-17T21:26:09Z,4,P1,3,True,P1L3,NA
8,atmos_a4_1626579166.8,-106.81973787259199,40.476922628345015,-0.8058308115651446,True,5,34.00391427298018,122.57195753720586,105.03608333333335,1.8125222222222226,POINT (-106.819737872592 40.47692262834502),"['atmos_a4_1626579166.8', 'atmos_a4_1626579300.5', 'atmos_a4_1626580094.7', 'atmos_a4_1626586936.8', 'atmos_a4_1626587054.9', 'atmos_a4_1626666525.7', 'atmos_a4_1626666666.8', 'atmos_a4_1626672792.1', 'atmos_a4_1626672876.6']",1.9847704529639154,0.01,2021-07-17T21:32:46Z,4,P1,4,True,P1L4,NA
9,atmos_a4_1626579166.8,-106.81973787259199,40.476922628345015,-0.8058308115651446,True,7,34.00391427298018,122.57195753720586,105.03608333333335,1.8125222222222226,POINT (-106.819737872592 40.47692262834502),"['atmos_a4_1626579166.8', 'atmos_a4_1626579300.5', 'atmos_a4_1626580094.7', 'atmos_a4_1626586936.8', 'atmos_a4_1626587054.9', 'atmos_a4_1626666525.7', 'atmos_a4_1626666666.8', 'atmos_a4_1626672792.1', 'atmos_a4_1626672876.6']",1.9847704529639154,0.01,2021-07-17T21:32:46Z,4,P1,5,True,P1L5,NA
11,atmos_a4_1626581018.3,-106.81861360170501,40.48213680268561,-2.874617233986449,True,2,4.999195501801296,9.498367775920997,1.3172149999999996,0.05739749999999966,POINT (-106.818613601705 40.48213680268561),"['atmos_a4_1626581018.3', 'atmos_a4_1626673916.8']",0.16070088632210378,0.01,2021-07-17T22:03:38Z,4,P1,6,True,P1L6,NA
15,atmos_a4_1626582501.9,-106.8167922028739,40.48232226951445,-3.1056519115256367,True,4,33.773976550877705,84.15030462924824,3.8083982500000007,0.04606200000000005,POINT (-106.8167922028739 40.48232226951445),"['atmos_a4_1626582501.9', 'atmos_a4_1626582719.6', 'atmos_a4_1626584663.6', 'atmos_a4_1626588294.8', 'atmos_a4_1626675877.8', 'atmos_a4_1626675877.8']",0.12136738863623524,0.01,2021-07-17T22:28:21Z,4,P1,7,True,P1L7,NA
16,atmos_a4_1626582613.8,-106.81748130564694,40.48274898740368,-3.6398193651777864,True,2,5.313378177972481,53.64967989116849,1.3500666666666679,0.02691999999999968,POINT (-106.8174813056469 40.48274898740368),"['atmos_a4_1626582613.8', 'atmos_a4_1626590246.4', 'atmos_a4_1626590275.2']",0.0634196062999427,0.01,2021-07-17T22:30:13Z,4,P1,8,True,P1L8,NA
18,atmos_a4_1626583485.4,-106.81313712918298,40.48156792644025,-3.4586252960607835,True,2,7.249632680417562,27.31534695901428,3.47118,0.032216875000000034,POINT (-106.813137129183 40.48156792644025),"['atmos_a4_1626583485.4', 'atmos_a4_1626589085.2']",0.07903857023990478,0.01,2021-07-17T22:44:45Z,4,P1,9,True,P1L9,NA
21,atmos_a4_1626584828.9,-106.82073405586112,40.47514017870922,-3.5893623785196795,True,3,8.55814907520562,115.18925628494615,2.643141666666667,0.028440625000000108,POINT (-106.8207340558611 40.47514017870922),"['atmos_a4_1626584828.9', 'atmos_a4_1626586263.0', 'atmos_a4_1626586273.3', 'atmos_a4_1626586324.6', 'atmos_a4_1626672177.3', 'atmos_a4_1626672177.3', 'atmos_a4_1626672205.0', 'atmos_a4_1626672205.0']",0.06742943691369621,0.01,2021-07-17T23:07:08Z,4,P1,10,True,P1L10,NA
23,atmos_a4_1626585010.9,-106.82758910871848,40.47383216360587,-3.7142083075851184,True,2,3.2729779578148737,102.26349937461781,2.2589699999999997,0.024580000000000046,POINT (-106.8275891087185 40.47383216360587),"['atmos_a4_1626585010.9', 'atmos_a4_1626671434.6']",0.057938698252803546,0.01,2021-07-17T23:10:10Z,4,P1,11,True,P1L11,NA
25,atmos_a4_1626585075.5,-106.82862044225189,40.4727451362061,-3.381476172138019,True,2,2.8959944257803727,47.47387065527436,0.590090833333333,0.03600666666666652,POINT (-106.8286204422519 40.4727451362061),"['atmos_a4_1626585075.5', 'atmos_a4_1626585176.0', 'atmos_a4_1626591264.9']",0.08680613557758998,0.01,2021-07-17T23:11:15Z,4,P1,12,True,P1L12,NA
30,atmos_a4_1626586443.5,-106.82154037256673,40.47713810464454,-3.2152942457610005,True,2,28.416786027235503,55.74767287483701,3.3502949999999996,0.041264999999999996,POINT (-106.8215403725667 40.47713810464454),"['atmos_a4_1626586443.5', 'atmos_a4_1626670948.4']",0.10622924545312551,0.01,2021-07-17T23:34:03Z,4,P1,13,True,P1L13,NA
32,atmos_a4_1626586707.6,-106.8219643985077,40.47754929534291,-3.26350223434974,True,2,8.16804024121302,146.11175925161297,1.8308050000000007,0.04722999999999977,POINT (-106.8219643985077 40.47754929534291),"['atmos_a4_1626586707.6', 'atmos_a4_1626590880.0']",0.10018550565049672,0.01,2021-07-17T23:38:27Z,4,P1,14,True,P1L14,NA
33,atmos_a4_1626586936.8,-106.81965088360752,40.47769301389299,-2.1526435720020856,True,5,70.25794940633385,146.68853622842838,8.472179999999998,0.11849500000000002,POINT (-106.8196508836075 40.47769301389299),"['atmos_a4_1626586936.8', 'atmos_a4_1626587054.9', 'atmos_a4_1626587499.0', 'atmos_a4_1626666525.7', 'atmos_a4_1626666525.7', 'atmos_a4_1626666666.8', 'atmos_a4_1626666666.8', 'atmos_a4_1626672792.1', 'atmos_a4_1626672876.6', 'atmos_a4_1626673252.6']",0.3863682908549557,0.01,2021-07-17T23:42:16Z,4,P1,15,True,P1L15,NA
37,atmos_a4_1626588580.4,-106.8089191367953,40.48091044710346,-3.3593504277778026,True,2,26.305618525711907,37.99655856391836,3.5473106250000015,0.036860000000000226,POINT (-106.8089191367953 40.48091044710346),"['atmos_a4_1626588580.4', 'atmos_a4_1626675675.7']",0.08917150729167891,0.01,2021-07-18T00:09:40Z,4,P1,16,True,P1L16,NA
7,atmos_a5_1626582505.1,-106.81708730242839,40.48212435460496,-3.1136751178714603,True,2,16.026093342698008,16.128228809494427,3.596640624999999,0.04444500000000007,POINT (-106.8170873024284 40.48212435460496),"['atmos_a5_1626582505.1', 'atmos_a5_1626584664.6']",0.12018995905185705,0.02,2021-07-17T22:28:25Z,5,P1,17,True,P1L17,NA
8,atmos_a5_1626582721.6,-106.81662310379988,40.48243799609763,-2.877805298124427,True,2,30.817300118116695,59.212256765689744,4.383570000000001,0.05628,POINT (-106.8166231037999 40.48243799609763),"['atmos_a5_1626582721.6', 'atmos_a5_1626675878.8']",0.16007958168819547,0.02,2021-07-17T22:32:01Z,5,P1,18,True,P1L18,NA
23,atmos_a5_1626587965.2,-106.82327593497715,40.478713676658366,-2.8973942280902905,True,3,0.5358075761942018,9.528453242586695,2.950679166666666,0.05725249999999979,POINT (-106.8232759349771 40.47871367665837),"['atmos_a5_1626587965.2', 'atmos_a5_1626670922.8', 'atmos_a5_1626672579.8']",0.15631437724331007,0.02,2021-07-17T23:59:25Z,5,P1,19,True,P1L19,NA
NA,atmos_provided1,-106.812102165,40.4792025641,NA,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,P1,20,True,P1L20,1
NA,atmos_provided2,-106.818325309,40.4790535758,NA,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,P1,21,True,P1L21,2
NA,atmos_provided3,-106.812120186,40.4792113651,NA,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,P1,22,True,P1L22,3
NA,atmos_provided4,-106.807574093,40.4802620367,NA,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,P1,23,True,P1L23,4
NA,atmos_provided5,-106.822811303,40.4840565242,NA,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,P1,24,True,P1L24,5
NA,atmos_provided6,-106.819909572,40.4770530669,NA,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,P1,25,True,P1L25,6
NA,atmos_provided7,-106.820618597,40.4767374464,NA,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,P1,26,True,P1L26,7
NA,atmos_provided8,-106.821264004,40.4745909667,NA,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,P1,27,True,P1L27,8
NA,atmos_provided9,-106.821143388,40.4755803665,NA,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,P1,28,True,P1L28,9
NA,atmos_provided10,-106.821146573,40.475607021,NA,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,P1,29,True,P1L29,10
NA,atmos_provided11,-106.824226671,40.4785832253,NA,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,P1,30,True,P1L30,11
