,lat,lon,POLYGON,portion
0,-106.82743071799996,40.469308857000044,P1,1
1,-106.83092702499994,40.47455317600003,P1,1
2,-106.82646456399999,40.47815663700004,P1,1
3,-106.82759849399997,40.48149951700003,P1,1
4,-106.82697353299994,40.48329631200005,P1,1
5,-106.82410721899998,40.48451843600003,P1,1
6,-106.82144644199997,40.48456131900008,P1,1
7,-106.81951127499997,40.48511766300004,P1,1
8,-106.81831861399996,40.486493479000046,P1,1
9,-106.81497466199994,40.48574649100004,P1,1
10,-106.80100229499999,40.49018039400005,P1,1
11,-106.79908433899999,40.49909667600008,P1,1
12,-106.79121568399995,40.49741254700007,P1,1
13,-106.79108925499997,40.48904717100004,P1,1
14,-106.80294393999998,40.48299822100006,P1,1
15,-106.80527848699995,40.48271388200004,P1,1
16,-106.80478733399997,40.481280524000056,P1,1
17,-106.80600816799995,40.48130124200003,P1,1
18,-106.80607058799995,40.479069286000026,P1,1
19,-106.81068838799996,40.47908851600005,P1,1
20,-106.82079530699997,40.46879055800008,P1,1
21,-106.82743071799996,40.469308857000044,P1,1
